timestamp,test-class,test-method,time,description,result
"2022-06-02 21:12:00.699","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","positiveTest",9330,""[1] recordIndex=0, code=ZZZ, title=PruebaCrear1, description=PruebaCrear2, budget=GBP 500.00, startDate=2022/11/25 11:00, endDate=2022/12/15 11:00, moreInfo=null"","Expected value 'PruebaCrear1' in attribute 1 of record 0, but found 'Esto es una prueba1'"
"2022-06-02 21:12:13.906","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","hackingCreateTest",12956,""hackingCreateTest()"","OK"
"2022-06-02 21:12:26.925","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","hackingDeleteTest",12785,""hackingDeleteTest()"","OK"
"2022-06-02 21:12:32.756","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",5607,""[1] recordIndex=0, code=BBB, title=null, description=This is a test, budget=EUR 200.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","Cannot find 'By.xpath: //a[@class='btn btn-dark' and normalize-space()='Create Chimpum']'"
"2022-06-02 21:12:38.602","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",5604,""[2] recordIndex=1, code=CCC, title=This is a negative test, description=null, budget=EUR 200.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","Cannot find 'By.xpath: //a[@class='btn btn-dark' and normalize-space()='Create Chimpum']'"
"2022-06-02 21:12:44.438","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",5603,""[3] recordIndex=2, code=EEE, title=This is a negative test, description=This is a negative test, budget=null, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","Cannot find 'By.xpath: //a[@class='btn btn-dark' and normalize-space()='Create Chimpum']'"
