timestamp,test-class,test-method,time,description,result
"2022-06-02 19:26:46.073","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",9622,""[15] recordIndex=14, code=TRE, title=This is a negative test, description=This a negative test, budget=EUR 10.00, startDate=2022/08/20 20:00, endDate=28/08/22 20:00, moreInfo=null"","OK"
"2022-06-02 19:26:56.136","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",9572,""[16] recordIndex=15, code=null, title=This is a negative test, description=This is a test, budget=EUR 200.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-02 19:27:12.978","acme.testing.inventor.chimpum.InventorChimpumListTest","hackingTest",15503,""hackingTest()"","OK"
"2022-06-02 19:27:18.64","acme.testing.inventor.chimpum.InventorChimpumListTest","positiveTest",5171,""[1] recordIndex=0, code=ABC-22-05-24, title=This is a test, budget=EUR 600.00, startDate=2022/06/01 15:00, endDate=2022/06/08 15:00"","OK"
"2022-06-02 19:27:32.498","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","positiveTest",12544,""[1] recordIndex=0, code=ABC-22-05-24, title=This is a update test, description=This is a update test, budget=USD 3.50, startDate=2022/08/15 10:00, endDate=2022/08/25 10:00, moreInfo=null"","OK"
"2022-06-02 19:27:48.579","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","hackingTest",15594,""hackingTest()"","OK"
"2022-06-02 19:27:59.122","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negativeTest",10048,""[1] recordIndex=0, code=AAA-22-05-24, title=null, description=This is a test, budget=EUR 200.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-02 19:28:09.64","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negativeTest",10023,""[2] recordIndex=1, code=AAA-22-05-24, title=This is a negative update test, description=null, budget=EUR 200.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-02 19:28:20.154","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negativeTest",10041,""[3] recordIndex=2, code=AAA-22-05-24, title=This is a negative update test, description=This is a negative test, budget=null, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-02 19:28:30.692","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negativeTest",10048,""[4] recordIndex=3, code=VVV-22-05-24, title=This is a negative update test, description=This is a negative test, budget=EUR 200.00, startDate=null, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-02 19:28:41.165","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negativeTest",9993,""[5] recordIndex=4, code=TTT-22-05-24, title=This is a negative update test, description=This is a negative test, budget=EUR 200.00, startDate=2022/08/20 20:00, endDate=null, moreInfo=null"","OK"
"2022-06-02 19:28:51.718","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negativeTest",10038,""[6] recordIndex=5, code=EEE-22-05-24, title=This is a negative update test, description=This is a negative test, budget=YEN 200.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-02 19:29:02.257","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negativeTest",10049,""[7] recordIndex=6, code=TTT-22-05-24, title=This is a negative update test, description=This is a negative test, budget=EUR 200.00, startDate=2022/04/20 20:00, endDate=2022/08/28 21:00, moreInfo=null"","OK"
"2022-06-02 19:29:12.847","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negativeTest",10090,""[8] recordIndex=7, code=AAA-22-05-24, title=This is a negative update test, description=This is a negative test, budget=EUR 200.00, startDate=2022/08/20 20:00, endDate=2022/08/22 20:00, moreInfo=null"","OK"
"2022-06-02 19:29:23.392","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negativeTest",10067,""[9] recordIndex=8, code=EEE-22-05-24, title=sex, description=This is a test, budget=EUR 200.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-02 19:29:33.976","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negativeTest",10091,""[10] recordIndex=9, code=EEE-22-05-24, title=This is a test, description=sex, budget=EUR 200.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-02 19:29:44.655","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negativeTest",10165,""[11] recordIndex=10, code=UUU-22-05-24, title=This is a testttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttt, description=aa, budget=EUR 200.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-02 19:29:55.336","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negativeTest",10192,""[12] recordIndex=11, code=UII-22-05-24, title=aa, description=This is a testttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttt, budget=EUR 200.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-02 19:30:05.877","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negativeTest",10035,""[13] recordIndex=12, code=OPE-22-05-24, title=This is a negative update test, description=This a negative test, budget=EUR -10.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-02 19:30:14.948","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negativeTest",8816,""[14] recordIndex=13, code=WWW-22-05-24, title=This is a negative update test, description=This a negative test, budget=EUR 10.00, startDate=20/08/22 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-02 19:30:24.017","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negativeTest",8799,""[15] recordIndex=14, code=AAA-22-05-24, title=This is a negative update test, description=This a negative test, budget=EUR 10.00, startDate=2022/08/20 20:00, endDate=28/08/22 20:00, moreInfo=null"","OK"
"2022-06-02 19:30:32.557","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negativeTest",8283,""[16] recordIndex=15, code=ABC-28-05-24, title=This is a update test, description=This is a update test, budget=USD 3.50, startDate=2022/08/15 10:00, endDate=2022/08/25 10:00, moreInfo=null"","OK"
"2022-06-02 19:30:41.164","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negativeTest",8353,""[17] recordIndex=16, code=ARRRR-22-05-24, title=This is a update test, description=This is a update test, budget=USD 3.50, startDate=2022/08/15 10:00, endDate=2022/08/25 10:00, moreInfo=null"","OK"
